beta,s0,Neff,H_natlog,D_tau1pct,sum_fast,sum_slow
8.0,0.005,76.54916840518665,4.337933258624524,38,2.388795646745157e+33,7.978970850314079e+31
8.0,0.01,76.71388995187563,4.340082786526146,40,1.8755630481069357e+33,8.1412673942929e+31
8.0,0.02,77.50135869238343,4.350295467720251,38,1.167690078345401e+33,8.464346335215634e+31
8.0,0.04,82.32170023794338,4.410634745320562,38,4.229100689071271e+32,9.182218190330047e+31
8.0,0.08,98.24110227386223,4.587424684550282,38,5.389844798809779e+31,1.0788377811431917e+32
8.25,0.005,75.04238959203364,4.318053148434471,36,2.293394072912068e+34,6.861327201346063e+32
8.25,0.01,75.81237745662996,4.328261570302368,41,1.7992134111175862e+34,6.99453832850461e+32
8.25,0.02,77.25623712574222,4.347127652010406,38,1.072957710265109e+34,7.293262215016549e+32
8.25,0.04,80.95285126427872,4.393866902039216,37,3.824564039591737e+33,7.936255100945002e+32
8.25,0.08,98.13913958464053,4.586386263399365,35,4.709891432384934e+32,9.348369477149228e+32
8.5,0.005,73.22379206103632,4.2935203963132915,39,2.25327379394077e+35,5.897310884006112e+33
8.5,0.01,74.55623951397675,4.311553733402311,40,1.701648263492364e+35,6.025423597489032e+33
8.5,0.02,74.96383427262364,4.317005787537473,39,9.99686903795255e+34,6.298371624531844e+33
8.5,0.04,80.03351950328025,4.3824455407114975,37,3.5197224204522634e+34,6.844860504913771e+33
8.5,0.08,98.06232516522462,4.58560324760039,36,4.084573378649769e+33,8.112111183212111e+33
8.75,0.005,72.81138935324314,4.287872390125993,37,2.133040071764811e+36,5.070939321111941e+34
8.75,0.01,73.24136565036947,4.293760365869083,39,1.62849757327008e+36,5.184357795405827e+34
8.75,0.02,73.82740864578811,4.301730053522248,39,9.462989092888703e+35,5.423675003910135e+34
8.75,0.04,79.09880308832072,4.3706977430323315,36,3.1761385247648364e+35,5.916385778327865e+34
8.75,0.08,98.0439381301338,4.585415726459191,33,3.404629101458797e+34,7.051923797178782e+34
9.0,0.005,71.20372764750643,4.265545171647285,38,2.0623985180760108e+37,4.363502959581898e+35
9.0,0.01,70.76081440291703,4.25930537859388,35,1.6156449844599985e+37,4.4546416507929214e+35
9.0,0.02,72.25802892783705,4.280243447847277,37,9.030938131319646e+36,4.6676565228489036e+35
9.0,0.04,77.97208699178817,4.356350903563112,37,2.96467002401488e+36,5.09955269786006e+35
9.0,0.08,97.92363897245885,4.584187980782434,37,2.978090605308739e+35,6.117396591852979e+35
9.25,0.005,70.58726988257771,4.256849814962867,35,1.9460817603051418e+38,3.754074846337201e+36
9.25,0.01,70.360744495716,4.253635501048681,37,1.5153251907647974e+38,3.8358496663128496e+36
9.25,0.02,71.34003394742498,4.267457655784641,37,8.613202873886546e+37,4.015238412119215e+36
9.25,0.04,76.44151662204584,4.336525959861353,39,2.6915058694792187e+37,4.412834607461152e+36
9.25,0.08,97.7243997413539,4.582151269335815,34,2.5565273205783665e+36,5.305588709808383e+36
9.5,0.005,69.17678313306078,4.23666530247211,37,1.9316224134072014e+39,3.2239194729561685e+37
9.5,0.01,69.70174563748004,4.244225362466918,37,1.4269732885682644e+39,3.302895726313871e+37
9.5,0.02,69.59392887979074,4.242677334797087,35,8.139703491780094e+38,3.461667100754628e+37
9.5,0.04,75.59260942496792,4.325358519477776,36,2.414106387146495e+38,3.8091420748590455e+37
9.5,0.08,97.6788837567993,4.581685402185959,33,2.221503572215827e+37,4.59933777356938e+37
9.75,0.005,67.95594973740668,4.218859697285024,37,1.9214653889212508e+40,2.765732058555382e+38
9.75,0.01,68.2304079569862,4.2228903299533265,38,1.3805967149470017e+40,2.839161551773508e+38
9.75,0.02,68.96270165195895,4.233565802675607,35,7.731228383996062e+39,2.9783512260401167e+38
9.75,0.04,74.3464856662625,4.30873640435476,37,2.254809755860407e+39,3.2853991784438376e+38
9.75,0.08,97.47529091870828,4.579598919411099,35,1.923913995720464e+38,3.995657364258084e+38
10.0,0.005,66.07412823044716,4.190777266766497,34,1.8117412838437044e+41,2.3822150289156722e+39
10.0,0.01,66.6530932611527,4.199501456067703,37,1.313715246974895e+41,2.447078764393001e+39
10.0,0.02,67.24828724433416,4.208391549671884,36,7.353206612511642e+40,2.5661131198001624e+39
10.0,0.04,71.58314230025579,4.2708596035117505,33,2.129637707988526e+40,2.835755798810322e+39
10.0,0.08,97.5493324473146,4.580358223860822,31,1.6264959644957506e+39,3.46813982184172e+39
